Property_ID,City,Locality,Locality_Tier,BHK,Carpet_Area_SqFt,Builtup_Area_SqFt,Possession_Status,RERA_Approved,Vastu_Compliance,Furnishing_Status,Metro_Proximity,Floor_Number,Total_Floors,Gated_Community,Power_Backup,Clubhouse,Reserved_Parking_Slots,Property_Age_Yrs,SalePrice_INR
1025,Bengaluru,HSR Layout / Whitefield,Mid-Tier,3,1201,1543,Ready to Move,1,Full Vastu,Semi-Furnished,Walkable (<500m),8,22,1,0,1,1,0,20740000.0
1026,Hyderabad,Banjara Hills / Gachibowli,Upscale,3,1847,2493,New Launch,0,Full Vastu,Semi-Furnished,Near (1-2 km),3,7,1,1,1,1,0,30680000.0
1027,Mumbai,Andheri West / Powai,Mid-Tier,2,855,1167,Ready to Move,1,Full Vastu,Semi-Furnished,Walkable (<500m),4,7,1,1,1,1,5,32370000.0
1028,Delhi NCR,Dwarka Expressway,Emerging,2,1052,1345,Ready to Move,1,Full Vastu,Semi-Furnished,Near (1-2 km),3,7,1,1,1,1,5,9370000.0
1029,Delhi NCR,South Delhi (Vasant Vihar),Upscale,3,1254,1643,Ready to Move,1,Partial Vastu,Semi-Furnished,Near (1-2 km),7,12,1,1,1,1,2,44010000.0
1030,Mumbai,Andheri West / Powai,Mid-Tier,2,1045,1370,Ready to Move,1,Full Vastu,Semi-Furnished,Walkable (<500m),31,35,1,1,1,0,8,30380000.0
1031,Delhi NCR,South Delhi (Vasant Vihar),Upscale,3,1706,2326,Ready to Move,1,Non-Vastu,Unfurnished,Near (1-2 km),5,7,1,1,1,0,20,37850000.0
1032,Mumbai,Andheri West / Powai,Mid-Tier,2,1004,1355,Under Construction,1,Full Vastu,Unfurnished,Near (1-2 km),5,12,1,1,0,1,5,28690000.0
1033,Mumbai,Andheri West / Powai,Mid-Tier,1,442,582,Under Construction,0,Partial Vastu,Unfurnished,Near (1-2 km),3,22,1,1,0,0,0,9760000.0
1034,Chennai,GST Road (Tambaram),Emerging,5,3942,5271,Ready to Move,1,Full Vastu,Semi-Furnished,Walkable (<500m),2,12,1,1,0,1,5,23550000.0
1035,Kolkata,New Town Action Area 1,Mid-Tier,2,781,1062,Under Construction,0,Partial Vastu,Semi-Furnished,Walkable (<500m),3,12,1,1,0,1,5,6330000.0
1036,Pune,Kalyani Nagar / Prabhat Road,Upscale,5,3655,4573,Under Construction,1,Non-Vastu,Semi-Furnished,Walkable (<500m),15,22,1,1,1,0,12,53390000.0
1037,Bengaluru,Indiranagar / Lavelle Road,Prime / Ultra-Luxury,4,2770,3608,Ready to Move,1,Partial Vastu,Semi-Furnished,Walkable (<500m),7,12,1,1,0,1,0,83390000.0
1038,Mumbai,Bandra West / BKC,Upscale,3,1735,2373,Ready to Move,1,Partial Vastu,Semi-Furnished,Near (1-2 km),3,12,1,1,0,1,5,84670000.0
1039,Hyderabad,Banjara Hills / Gachibowli,Upscale,3,1553,2091,Under Construction,1,Full Vastu,Semi-Furnished,Near (1-2 km),4,4,1,1,1,0,2,24640000.0
1040,Bengaluru,Koramangala / Sadashivnagar,Upscale,2,811,1071,Under Construction,1,Partial Vastu,Unfurnished,Distant (>3 km),7,7,1,1,1,0,5,13270000.0
1041,Mumbai,Thane West,Suburban,3,1700,2242,Ready to Move,1,Non-Vastu,Unfurnished,Walkable (<500m),11,12,1,1,1,0,0,30800000.0
1042,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,2,952,1233,Under Construction,1,Non-Vastu,Semi-Furnished,Walkable (<500m),2,12,1,1,1,1,12,14950000.0
1043,Mumbai,Andheri West / Powai,Mid-Tier,2,619,816,Ready to Move,1,Full Vastu,Semi-Furnished,Near (1-2 km),20,50,0,1,1,1,5,17620000.0
1044,Chennai,Boat Club / Poes Garden,Prime / Ultra-Luxury,3,1731,2311,Ready to Move,1,Non-Vastu,Semi-Furnished,Walkable (<500m),44,50,1,0,1,1,12,43640000.0
1045,Bengaluru,Electronic City,Suburban,2,946,1234,Ready to Move,1,Full Vastu,Semi-Furnished,Walkable (<500m),21,22,1,1,0,1,2,9020000.0
1046,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,2,1121,1505,Ready to Move,1,Full Vastu,Semi-Furnished,Near (1-2 km),5,7,1,0,0,1,5,20540000.0
1047,Bengaluru,Indiranagar / Lavelle Road,Prime / Ultra-Luxury,2,793,1080,Under Construction,1,Full Vastu,Semi-Furnished,Walkable (<500m),39,50,1,1,1,1,20,22060000.0
1048,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,2,497,631,New Launch,1,Full Vastu,Fully Furnished,Near (1-2 km),1,12,1,1,1,0,20,7940000.0
1049,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,3,1614,2112,Ready to Move,1,Partial Vastu,Unfurnished,Walkable (<500m),8,12,1,1,1,1,20,25940000.0
1050,Mumbai,South Mumbai (Worli/Malabar Hill),Prime / Ultra-Luxury,2,991,1291,Ready to Move,1,Partial Vastu,Semi-Furnished,Near (1-2 km),10,22,1,1,0,1,0,85130000.0
1051,Kolkata,New Town Action Area 1,Mid-Tier,4,1791,2399,Under Construction,1,Partial Vastu,Semi-Furnished,Near (1-2 km),3,4,1,0,1,1,2,14700000.0
1052,Hyderabad,HITEC City / Kondapur,Mid-Tier,3,1322,1695,Under Construction,0,Partial Vastu,Fully Furnished,Walkable (<500m),2,4,1,1,0,1,0,12760000.0
1053,Chennai,Nungambakkam / Anna Nagar,Upscale,3,2190,2920,Under Construction,1,Full Vastu,Unfurnished,Distant (>3 km),11,22,1,1,1,0,2,31220000.0
1054,Pune,Wakad / Kharadi,Suburban,2,906,1236,Under Construction,0,Partial Vastu,Semi-Furnished,Near (1-2 km),6,12,0,1,1,1,0,5440000.0
1055,Delhi NCR,Noida Sector 62,Suburban,3,1719,2242,Ready to Move,1,Full Vastu,Unfurnished,Distant (>3 km),4,12,1,1,0,0,5,17050000.0
1056,Chennai,Velachery / Adyar,Mid-Tier,1,469,642,Under Construction,1,Partial Vastu,Semi-Furnished,Walkable (<500m),5,12,1,1,1,0,8,4690000.0
1057,Mumbai,Andheri West / Powai,Mid-Tier,3,1064,1467,Ready to Move,1,Partial Vastu,Unfurnished,Near (1-2 km),28,35,1,0,0,1,5,31840000.0
1058,Mumbai,Andheri West / Powai,Mid-Tier,1,506,639,Ready to Move,1,Partial Vastu,Unfurnished,Walkable (<500m),6,12,1,1,1,1,8,12710000.0
1059,Mumbai,Andheri West / Powai,Mid-Tier,3,1488,1905,Ready to Move,0,Full Vastu,Semi-Furnished,Near (1-2 km),2,12,1,1,0,2,0,39090000.0
1060,Bengaluru,HSR Layout / Whitefield,Mid-Tier,5,3572,4906,Ready to Move,1,Partial Vastu,Unfurnished,Near (1-2 km),1,4,1,1,1,1,12,41820000.0
1061,Bengaluru,Indiranagar / Lavelle Road,Prime / Ultra-Luxury,2,933,1282,New Launch,1,Full Vastu,Unfurnished,Near (1-2 km),7,7,1,1,1,1,0,26710000.0
1062,Bengaluru,HSR Layout / Whitefield,Mid-Tier,2,987,1246,Under Construction,1,Full Vastu,Unfurnished,Distant (>3 km),35,50,0,1,1,3,5,12690000.0
1063,Pune,Wakad / Kharadi,Suburban,3,1515,1897,Ready to Move,1,Partial Vastu,Unfurnished,Walkable (<500m),8,12,1,1,1,1,2,11360000.0
1064,Bengaluru,HSR Layout / Whitefield,Mid-Tier,2,769,977,Ready to Move,1,Full Vastu,Fully Furnished,Walkable (<500m),8,12,1,1,1,0,12,11040000.0
1065,Bengaluru,Indiranagar / Lavelle Road,Prime / Ultra-Luxury,3,1663,2294,Ready to Move,1,Partial Vastu,Semi-Furnished,Near (1-2 km),1,12,1,1,0,1,20,48170000.0
1066,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,1,367,467,Ready to Move,1,Full Vastu,Semi-Furnished,Near (1-2 km),24,35,1,0,0,1,2,6600000.0
1067,Mumbai,Bandra West / BKC,Upscale,1,360,474,Under Construction,0,Full Vastu,Semi-Furnished,Near (1-2 km),11,12,1,1,1,1,0,11980000.0
1068,Pune,Kalyani Nagar / Prabhat Road,Upscale,4,2666,3627,New Launch,1,Partial Vastu,Fully Furnished,Near (1-2 km),2,12,1,1,1,1,5,32050000.0
1069,Mumbai,Bandra West / BKC,Upscale,3,1667,2088,New Launch,1,Full Vastu,Semi-Furnished,Distant (>3 km),10,12,1,1,0,0,5,67840000.0
1070,Kolkata,Park Street / Salt Lake Sec 5,Upscale,3,1536,2041,Under Construction,1,Full Vastu,Semi-Furnished,Near (1-2 km),2,4,1,1,1,1,5,21510000.0
1071,Hyderabad,HITEC City / Kondapur,Mid-Tier,2,751,966,Under Construction,1,Full Vastu,Semi-Furnished,Walkable (<500m),29,35,1,1,0,1,0,8510000.0
1072,Mumbai,Andheri West / Powai,Mid-Tier,3,1385,1887,Ready to Move,0,Full Vastu,Semi-Furnished,Walkable (<500m),8,35,0,1,0,2,8,35090000.0
1073,Mumbai,Bandra West / BKC,Upscale,2,912,1174,Ready to Move,1,Partial Vastu,Semi-Furnished,Distant (>3 km),26,35,1,1,0,2,0,38480000.0
1074,Pune,Wakad / Kharadi,Suburban,3,1178,1578,Ready to Move,1,Full Vastu,Unfurnished,Near (1-2 km),5,35,1,1,1,1,2,9280000.0
1075,Hyderabad,Miyapur / Kukatpally,Suburban,3,1378,1843,Ready to Move,1,Partial Vastu,Unfurnished,Distant (>3 km),1,22,1,1,0,1,0,10330000.0
1076,Hyderabad,Miyapur / Kukatpally,Suburban,2,1042,1333,Under Construction,1,Partial Vastu,Semi-Furnished,Walkable (<500m),8,12,1,1,1,1,20,6440000.0
1077,Hyderabad,Banjara Hills / Gachibowli,Upscale,2,1153,1446,Ready to Move,1,Full Vastu,Semi-Furnished,Near (1-2 km),5,22,1,0,1,1,0,22070000.0
1078,Mumbai,Andheri West / Powai,Mid-Tier,2,890,1160,Ready to Move,1,Partial Vastu,Unfurnished,Near (1-2 km),1,12,1,1,1,2,8,24280000.0
1079,Bengaluru,Yelahanka / Devanahalli,Emerging,3,1725,2221,Ready to Move,1,Partial Vastu,Semi-Furnished,Walkable (<500m),3,4,1,1,1,2,0,12710000.0
1080,Mumbai,Andheri West / Powai,Mid-Tier,2,677,917,New Launch,1,Full Vastu,Semi-Furnished,Near (1-2 km),4,12,1,0,1,1,2,17320000.0
1081,Pune,Koregaon Park,Prime / Ultra-Luxury,3,1703,2306,Ready to Move,1,Full Vastu,Semi-Furnished,Near (1-2 km),13,50,1,0,0,1,30,34840000.0
1082,Delhi NCR,"Golf Course Road, Gurgaon",Prime / Ultra-Luxury,2,835,1093,Under Construction,1,Full Vastu,Unfurnished,Near (1-2 km),1,12,1,1,1,1,0,34780000.0
1083,Bengaluru,HSR Layout / Whitefield,Mid-Tier,3,1621,2154,Under Construction,1,Partial Vastu,Unfurnished,Near (1-2 km),13,22,0,1,1,0,12,15560000.0
1084,Mumbai,Thane West,Suburban,3,1492,1982,Ready to Move,1,Partial Vastu,Semi-Furnished,Near (1-2 km),1,4,0,1,0,1,20,22890000.0
1085,Bengaluru,HSR Layout / Whitefield,Mid-Tier,2,1138,1545,Ready to Move,1,Full Vastu,Semi-Furnished,Near (1-2 km),2,7,1,1,0,1,8,16480000.0
1086,Bengaluru,HSR Layout / Whitefield,Mid-Tier,1,451,589,Under Construction,1,Partial Vastu,Unfurnished,Near (1-2 km),2,12,1,1,1,2,0,5260000.0
1087,Hyderabad,Jubilee Hills,Prime / Ultra-Luxury,1,568,730,Ready to Move,1,Partial Vastu,Semi-Furnished,Near (1-2 km),4,4,1,1,0,1,12,13820000.0
1088,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,3,1485,1907,New Launch,0,Partial Vastu,Semi-Furnished,Walkable (<500m),4,4,1,1,0,2,12,19860000.0
1089,Pune,Wakad / Kharadi,Suburban,3,1513,1997,Ready to Move,1,Partial Vastu,Semi-Furnished,Near (1-2 km),1,7,1,1,1,1,30,9160000.0
1090,Delhi NCR,South Delhi (Vasant Vihar),Upscale,1,505,661,Ready to Move,1,Full Vastu,Fully Furnished,Near (1-2 km),2,22,0,1,0,2,12,14530000.0
1091,Mumbai,Andheri West / Powai,Mid-Tier,3,1353,1769,Under Construction,1,Partial Vastu,Fully Furnished,Walkable (<500m),4,4,0,1,1,1,2,41250000.0
1092,Hyderabad,Tellapur,Emerging,2,947,1195,Under Construction,1,Partial Vastu,Semi-Furnished,Near (1-2 km),3,7,1,1,0,1,8,4370000.0
1093,Hyderabad,Banjara Hills / Gachibowli,Upscale,2,941,1264,New Launch,1,Partial Vastu,Unfurnished,Walkable (<500m),2,4,1,1,1,2,5,14910000.0
1094,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,4,2486,3177,Under Construction,0,Full Vastu,Unfurnished,Near (1-2 km),10,12,1,1,1,1,2,37330000.0
1095,Hyderabad,Banjara Hills / Gachibowli,Upscale,2,962,1227,New Launch,1,Full Vastu,Unfurnished,Walkable (<500m),5,12,1,0,1,1,5,17590000.0
1096,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,2,1063,1386,Under Construction,1,Full Vastu,Unfurnished,Walkable (<500m),11,12,1,0,1,1,8,19140000.0
1097,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,1,592,758,Under Construction,1,Full Vastu,Semi-Furnished,Distant (>3 km),1,12,1,1,1,3,5,10960000.0
1098,Bengaluru,HSR Layout / Whitefield,Mid-Tier,1,438,581,Ready to Move,1,Partial Vastu,Fully Furnished,Near (1-2 km),4,7,1,1,0,1,12,6620000.0
1099,Mumbai,Andheri West / Powai,Mid-Tier,2,1073,1393,Ready to Move,1,Full Vastu,Fully Furnished,Near (1-2 km),3,22,0,1,1,1,0,35770000.0
1100,Mumbai,Bandra West / BKC,Upscale,1,427,559,New Launch,1,Partial Vastu,Semi-Furnished,Near (1-2 km),17,22,1,1,1,2,2,18090000.0
1101,Mumbai,Thane West,Suburban,3,1686,2225,Ready to Move,1,Partial Vastu,Semi-Furnished,Near (1-2 km),2,4,1,1,1,1,2,30580000.0
1102,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,2,1038,1325,Ready to Move,1,Partial Vastu,Unfurnished,Near (1-2 km),8,12,0,1,0,2,0,17260000.0
1103,Bengaluru,Koramangala / Sadashivnagar,Upscale,2,677,860,Ready to Move,1,Full Vastu,Unfurnished,Near (1-2 km),7,7,1,1,0,1,2,11670000.0
1104,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,2,963,1314,Ready to Move,1,Non-Vastu,Unfurnished,Distant (>3 km),4,7,1,1,0,1,20,13950000.0
1105,Chennai,Velachery / Adyar,Mid-Tier,2,883,1154,Ready to Move,1,Partial Vastu,Semi-Furnished,Walkable (<500m),4,22,1,0,0,0,5,9920000.0
1106,Mumbai,Bandra West / BKC,Upscale,3,1373,1790,Ready to Move,1,Partial Vastu,Unfurnished,Distant (>3 km),3,12,1,1,1,1,2,58650000.0
1107,Bengaluru,Electronic City,Suburban,4,2886,3621,Under Construction,1,Full Vastu,Fully Furnished,Walkable (<500m),5,7,1,1,0,1,2,25930000.0
1108,Hyderabad,Miyapur / Kukatpally,Suburban,1,469,617,Ready to Move,1,Full Vastu,Semi-Furnished,Near (1-2 km),1,7,0,1,1,1,5,3410000.0
1109,Mumbai,Bandra West / BKC,Upscale,3,1362,1801,Ready to Move,1,Full Vastu,Unfurnished,Walkable (<500m),40,50,1,1,0,2,2,73570000.0
1110,Mumbai,Navi Mumbai (Kharghar),Emerging,2,960,1270,Ready to Move,1,Full Vastu,Unfurnished,Near (1-2 km),6,22,1,1,1,2,5,11660000.0
1111,Bengaluru,Koramangala / Sadashivnagar,Upscale,2,1047,1405,Ready to Move,1,Full Vastu,Semi-Furnished,Near (1-2 km),16,22,1,0,0,0,2,20460000.0
1112,Mumbai,Bandra West / BKC,Upscale,2,929,1183,Ready to Move,1,Partial Vastu,Fully Furnished,Distant (>3 km),3,12,1,1,1,1,2,39950000.0
1113,Chennai,Nungambakkam / Anna Nagar,Upscale,1,610,783,Under Construction,1,Partial Vastu,Semi-Furnished,Distant (>3 km),8,12,0,1,1,1,8,7460000.0
1114,Pune,Wakad / Kharadi,Suburban,1,561,760,Ready to Move,1,Full Vastu,Unfurnished,Distant (>3 km),5,12,1,1,1,0,5,4080000.0
1115,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,3,1043,1432,New Launch,1,Full Vastu,Semi-Furnished,Walkable (<500m),1,4,0,1,1,1,0,20500000.0
1116,Pune,Kalyani Nagar / Prabhat Road,Upscale,2,874,1108,Ready to Move,1,Partial Vastu,Unfurnished,Distant (>3 km),12,12,0,1,1,1,30,8730000.0
1117,Pune,Baner / Viman Nagar,Mid-Tier,4,2197,2888,Ready to Move,1,Full Vastu,Fully Furnished,Near (1-2 km),9,12,1,1,1,0,0,27870000.0
1118,Mumbai,Andheri West / Powai,Mid-Tier,2,1018,1301,Ready to Move,1,Partial Vastu,Semi-Furnished,Near (1-2 km),1,7,1,1,0,0,0,28250000.0
1119,Pune,Koregaon Park,Prime / Ultra-Luxury,1,315,396,Ready to Move,1,Full Vastu,Semi-Furnished,Walkable (<500m),7,22,1,1,1,1,8,7990000.0
1120,Delhi NCR,Noida Sector 62,Suburban,3,2142,2768,Under Construction,1,Full Vastu,Semi-Furnished,Near (1-2 km),3,7,1,1,1,1,8,25130000.0
1121,Pune,Wakad / Kharadi,Suburban,2,1025,1300,Under Construction,1,Full Vastu,Semi-Furnished,Distant (>3 km),10,12,1,1,0,1,0,6510000.0
1122,Pune,Baner / Viman Nagar,Mid-Tier,2,971,1303,Under Construction,1,Partial Vastu,Unfurnished,Distant (>3 km),3,4,1,1,1,1,5,8330000.0
1123,Bengaluru,Yelahanka / Devanahalli,Emerging,3,1824,2407,Ready to Move,1,Full Vastu,Unfurnished,Near (1-2 km),8,12,1,1,0,0,0,10370000.0
1124,Mumbai,Andheri West / Powai,Mid-Tier,4,3243,4114,Ready to Move,1,Partial Vastu,Semi-Furnished,Near (1-2 km),1,4,1,1,1,0,20,80950000.0
1125,Mumbai,Navi Mumbai (Kharghar),Emerging,3,1752,2192,Ready to Move,1,Full Vastu,Fully Furnished,Walkable (<500m),7,7,1,0,1,1,8,22450000.0
1126,Bengaluru,HSR Layout / Whitefield,Mid-Tier,3,1770,2398,New Launch,1,Full Vastu,Semi-Furnished,Near (1-2 km),4,12,1,1,1,1,0,23310000.0
1127,Pune,Baner / Viman Nagar,Mid-Tier,3,1580,2011,Ready to Move,1,Partial Vastu,Unfurnished,Near (1-2 km),11,12,1,1,1,2,0,17180000.0
1128,Pune,Kalyani Nagar / Prabhat Road,Upscale,4,2349,3121,Under Construction,1,Full Vastu,Fully Furnished,Walkable (<500m),7,12,1,1,0,1,5,42800000.0
1129,Mumbai,Thane West,Suburban,2,882,1141,Ready to Move,1,Partial Vastu,Unfurnished,Walkable (<500m),2,7,1,1,1,1,5,17900000.0
1130,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,1,455,603,Ready to Move,0,Full Vastu,Unfurnished,Walkable (<500m),11,12,1,0,0,0,12,6920000.0
1131,Bengaluru,Koramangala / Sadashivnagar,Upscale,2,852,1100,Ready to Move,1,Full Vastu,Unfurnished,Near (1-2 km),7,12,1,1,1,1,12,17570000.0
1132,Mumbai,South Mumbai (Worli/Malabar Hill),Prime / Ultra-Luxury,2,757,955,Ready to Move,1,Partial Vastu,Semi-Furnished,Walkable (<500m),5,7,1,1,0,1,2,60560000.0
1133,Mumbai,Andheri West / Powai,Mid-Tier,3,1532,1959,Under Construction,1,Non-Vastu,Semi-Furnished,Near (1-2 km),10,22,1,1,0,1,12,37820000.0
1134,Bengaluru,HSR Layout / Whitefield,Mid-Tier,3,1158,1476,Ready to Move,1,Full Vastu,Semi-Furnished,Walkable (<500m),12,12,1,1,1,1,5,17210000.0
1135,Chennai,Velachery / Adyar,Mid-Tier,2,977,1276,Under Construction,1,Partial Vastu,Semi-Furnished,Near (1-2 km),1,7,1,1,0,1,5,9500000.0
1136,Bengaluru,Electronic City,Suburban,1,517,690,Ready to Move,1,Full Vastu,Unfurnished,Near (1-2 km),3,35,1,1,1,1,8,4240000.0
1137,Delhi NCR,"Golf Course Road, Gurgaon",Prime / Ultra-Luxury,3,1584,2034,New Launch,1,Partial Vastu,Semi-Furnished,Near (1-2 km),7,22,1,1,1,2,0,60000000.0
1138,Hyderabad,HITEC City / Kondapur,Mid-Tier,2,875,1095,Ready to Move,1,Partial Vastu,Unfurnished,Near (1-2 km),43,50,1,1,0,0,2,10550000.0
1139,Bengaluru,Koramangala / Sadashivnagar,Upscale,3,2265,2984,Under Construction,1,Full Vastu,Semi-Furnished,Near (1-2 km),5,12,1,0,1,1,8,43070000.0
1140,Kolkata,EM Bypass,Suburban,2,1143,1519,Under Construction,1,Full Vastu,Semi-Furnished,Walkable (<500m),9,12,1,1,1,1,5,6600000.0
1141,Kolkata,EM Bypass,Suburban,2,772,1062,New Launch,1,Full Vastu,Semi-Furnished,Near (1-2 km),7,7,1,1,1,1,12,4630000.0
1142,Bengaluru,HSR Layout / Whitefield,Mid-Tier,1,538,714,Ready to Move,1,Full Vastu,Semi-Furnished,Walkable (<500m),3,12,1,1,0,1,0,8220000.0
1143,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,1,472,619,Under Construction,0,Full Vastu,Semi-Furnished,Walkable (<500m),47,50,1,1,0,0,2,6920000.0
1144,Bengaluru,Koramangala / Sadashivnagar,Upscale,3,1314,1740,Ready to Move,1,Partial Vastu,Unfurnished,Near (1-2 km),1,12,1,1,0,0,2,29070000.0
1145,Bengaluru,HSR Layout / Whitefield,Mid-Tier,4,1917,2627,Ready to Move,1,Non-Vastu,Fully Furnished,Walkable (<500m),5,35,1,1,1,2,2,31840000.0
1146,Mumbai,Thane West,Suburban,3,1650,2240,Ready to Move,1,Full Vastu,Unfurnished,Near (1-2 km),6,7,1,1,0,1,30,25880000.0
1147,Delhi NCR,"Cyber City, Gurgaon",Mid-Tier,1,466,602,Ready to Move,1,Full Vastu,Unfurnished,Walkable (<500m),10,12,0,1,0,0,2,8850000.0
1148,Delhi NCR,South Delhi (Vasant Vihar),Upscale,2,1087,1392,New Launch,1,Partial Vastu,Semi-Furnished,Near (1-2 km),5,35,1,1,1,0,5,28060000.0
1149,Mumbai,Andheri West / Powai,Mid-Tier,3,1781,2287,Ready to Move,1,Non-Vastu,Semi-Furnished,Walkable (<500m),1,22,1,1,1,2,5,46030000.0
1150,Bengaluru,Electronic City,Suburban,3,1869,2459,Ready to Move,1,Full Vastu,Unfurnished,Walkable (<500m),10,50,1,1,0,1,8,17720000.0
1151,Chennai,Nungambakkam / Anna Nagar,Upscale,1,453,610,Under Construction,1,Full Vastu,Fully Furnished,Walkable (<500m),18,22,0,1,0,2,5,7770000.0
1152,Mumbai,Bandra West / BKC,Upscale,1,557,733,Ready to Move,1,Full Vastu,Fully Furnished,Near (1-2 km),11,12,1,0,1,2,5,29630000.0
1153,Mumbai,Andheri West / Powai,Mid-Tier,3,1697,2136,Under Construction,1,Full Vastu,Semi-Furnished,Distant (>3 km),6,12,0,1,0,1,8,40120000.0
